Timestamp,Soil Moisture (%),Light Intensity (%),Humidity (%),Temperature (C)
2024-12-13 20:30,0%,64%,24%,24C
2024-12-13 20:30,0%,67%,24%,24C
2024-12-13 20:30,0%,69%,25%,24C
2024-12-13 20:30,0%,70%,25%,24C
2024-12-13 20:30,0%,53%,25%,24C
2024-12-13 20:30,0%,44%,25%,24C
2024-12-13 20:30,0%,40%,25%,24C
2024-12-13 20:30,0%,39%,26%,24C
2024-12-13 20:30,0%,38%,26%,24C
2024-12-13 20:30,0%,37%,26%,24C
2024-12-13 20:30,0%,37%,26%,24C
2024-12-13 20:30,0%,37%,26%,24C
2024-12-13 20:30,0%,36%,26%,24C
2024-12-13 20:30,0%,36%,25%,24C
2024-12-13 20:30,0%,36%,25%,24C
2024-12-13 20:30,0%,36%,25%,24C
2024-12-13 20:30,0%,36%,25%,24C
2024-12-13 20:31,0%,36%,25%,24C
2024-12-13 20:31,0%,36%,25%,24C
2024-12-13 20:31,0%,36%,25%,24C
2024-12-13 20:31,0%,36%,25%,24C
2024-12-13 20:31,0%,35%,25%,24C
2024-12-13 20:31,0%,35%,25%,24C
2024-12-13 20:31,63%,28%,25%,24C
2024-12-13 20:31,54%,27%,25%,24C
2024-12-13 20:31,51%,27%,25%,24C
2024-12-13 20:31,45%,28%,25%,24C
2024-12-13 20:31,40%,29%,26%,24C
2024-12-13 20:31,43%,29%,26%,24C
2024-12-13 20:31,45%,28%,26%,24C
2024-12-13 20:31,44%,28%,26%,24C
2024-12-13 20:31,44%,28%,25%,24C
2024-12-13 20:31,44%,28%,25%,24C
2024-12-13 20:31,45%,28%,25%,24C
2024-12-13 20:31,45%,28%,25%,24C
2024-12-13 20:31,46%,28%,25%,24C
2024-12-13 20:31,46%,28%,25%,24C
2024-12-13 20:31,47%,28%,25%,24C
2024-12-13 20:31,48%,28%,25%,24C
2024-12-13 20:31,48%,28%,25%,24C
2024-12-13 20:31,49%,28%,25%,24C
2024-12-13 20:31,51%,27%,25%,24C
2024-12-13 20:31,51%,27%,25%,24C
2024-12-13 20:31,51%,27%,25%,24C
2024-12-13 20:32,53%,27%,25%,24C
2024-12-13 20:32,54%,27%,24%,24C
2024-12-13 20:32,55%,27%,24%,24C
2024-12-13 20:32,56%,27%,24%,24C
2024-12-13 20:32,56%,27%,24%,24C
2024-12-13 20:32,56%,27%,24%,24C
2024-12-13 20:32,56%,27%,24%,24C
2024-12-13 20:32,56%,27%,24%,24C
2024-12-13 20:32,56%,27%,24%,24C
2024-12-13 20:32,56%,27%,24%,24C
2024-12-13 20:32,56%,27%,24%,24C
2024-12-13 20:32,56%,27%,25%,24C
2024-12-13 20:32,57%,27%,25%,24C
2024-12-13 20:32,58%,27%,25%,24C
2024-12-13 20:32,58%,27%,25%,24C
2024-12-13 20:32,58%,27%,25%,24C
2024-12-13 20:32,58%,27%,25%,24C
2024-12-13 20:32,58%,27%,25%,24C
2024-12-13 20:32,58%,27%,25%,24C
2024-12-13 20:32,58%,27%,25%,24C
2024-12-13 20:32,58%,26%,25%,24C
2024-12-13 20:32,58%,27%,25%,24C
2024-12-13 20:32,58%,26%,25%,24C
2024-12-13 20:32,58%,27%,25%,24C
2024-12-13 20:32,58%,27%,25%,24C
2024-12-13 20:32,59%,26%,25%,24C
2024-12-13 20:33,59%,26%,25%,24C
2024-12-13 20:33,59%,26%,25%,24C
2024-12-13 20:33,59%,26%,25%,24C
2024-12-13 20:33,59%,26%,25%,24C
2024-12-13 20:33,59%,26%,25%,24C
2024-12-13 20:33,60%,26%,25%,24C
2024-12-13 20:33,60%,26%,25%,24C
2024-12-13 20:33,59%,27%,25%,24C
2024-12-13 20:33,60%,26%,25%,24C
2024-12-13 20:33,59%,26%,25%,24C
2024-12-13 20:33,59%,26%,25%,24C
2024-12-13 20:33,59%,26%,25%,24C
2024-12-13 20:33,60%,26%,25%,24C
2024-12-13 20:33,60%,26%,26%,24C
2024-12-13 20:33,60%,26%,26%,24C
2024-12-13 20:33,60%,27%,26%,24C
2024-12-13 20:33,60%,26%,26%,24C
2024-12-13 20:33,60%,26%,26%,24C
2024-12-13 20:33,60%,26%,26%,24C
2024-12-13 20:33,60%,26%,27%,24C
2024-12-13 20:33,60%,26%,27%,24C
2024-12-13 20:33,61%,26%,27%,24C
2024-12-13 20:33,61%,26%,26%,24C
2024-12-13 20:33,61%,26%,26%,24C
2024-12-13 20:33,61%,26%,26%,24C
2024-12-13 20:33,61%,26%,26%,24C
2024-12-13 20:33,61%,26%,26%,24C
2024-12-13 20:34,61%,26%,26%,24C
2024-12-13 20:34,61%,26%,26%,24C
2024-12-13 20:34,61%,26%,25%,24C
2024-12-13 20:34,61%,26%,25%,24C
2024-12-13 20:34,61%,26%,25%,24C
2024-12-13 20:34,61%,26%,25%,24C
2024-12-13 20:34,61%,26%,25%,24C
2024-12-13 20:34,61%,26%,25%,24C
2024-12-13 20:34,61%,26%,25%,24C
2024-12-13 20:34,61%,26%,25%,24C
2024-12-13 20:34,61%,26%,25%,24C
2024-12-13 20:34,61%,26%,25%,24C
2024-12-13 20:34,61%,26%,25%,24C
2024-12-13 20:34,61%,26%,25%,24C
2024-12-13 20:34,61%,26%,25%,24C
2024-12-13 20:34,61%,26%,25%,24C
2024-12-13 20:34,61%,26%,25%,24C
2024-12-13 20:34,61%,26%,25%,24C
2024-12-13 20:34,61%,26%,25%,24C
2024-12-13 20:34,62%,26%,25%,24C
2024-12-13 20:34,62%,26%,25%,24C
2024-12-13 20:34,62%,26%,25%,24C
2024-12-13 20:34,62%,26%,25%,24C
2024-12-13 20:34,62%,26%,25%,24C
2024-12-13 20:34,62%,26%,25%,24C
2024-12-13 20:34,61%,26%,25%,24C
2024-12-13 20:34,61%,26%,25%,24C
2024-12-13 20:35,63%,26%,25%,24C
2024-12-13 20:35,63%,26%,24%,24C
2024-12-13 20:35,63%,26%,24%,24C
2024-12-13 20:35,64%,26%,25%,24C
2024-12-13 20:35,64%,26%,24%,24C
2024-12-13 20:35,64%,26%,24%,24C
2024-12-13 20:35,64%,26%,25%,24C
2024-12-13 20:35,63%,26%,25%,24C
2024-12-13 20:35,63%,26%,25%,24C
2024-12-13 20:35,63%,26%,25%,24C
2024-12-13 20:35,63%,26%,25%,24C
2024-12-13 20:35,63%,26%,25%,24C
2024-12-13 20:35,63%,26%,25%,24C
2024-12-13 20:35,63%,26%,25%,24C
2024-12-13 20:35,63%,26%,25%,24C
2024-12-13 20:35,63%,26%,25%,24C
2024-12-13 20:35,63%,26%,25%,24C
2024-12-13 20:35,63%,26%,25%,24C
2024-12-13 20:35,63%,26%,25%,24C
2024-12-13 20:35,63%,26%,25%,24C
2024-12-13 20:35,64%,26%,25%,24C
2024-12-13 20:35,63%,26%,25%,24C
2024-12-13 20:35,63%,26%,25%,24C
2024-12-13 20:35,64%,26%,25%,24C
2024-12-13 20:35,63%,26%,25%,24C
2024-12-13 20:35,63%,26%,25%,24C
2024-12-13 20:35,63%,26%,25%,24C
2024-12-13 20:36,63%,26%,25%,24C
2024-12-13 20:36,63%,26%,25%,24C
2024-12-13 20:36,63%,26%,25%,24C
2024-12-13 20:36,64%,26%,25%,24C
2024-12-13 20:36,63%,26%,25%,24C
2024-12-13 20:36,63%,26%,25%,24C
2024-12-13 20:36,63%,26%,25%,24C
2024-12-13 20:36,63%,26%,25%,24C
2024-12-13 20:36,63%,26%,25%,24C
2024-12-13 20:36,63%,26%,25%,24C
2024-12-13 20:36,63%,26%,25%,24C
2024-12-13 20:36,65%,26%,25%,24C
2024-12-13 20:36,64%,26%,24%,24C
2024-12-13 20:36,63%,26%,24%,24C
2024-12-13 20:36,63%,26%,24%,24C
2024-12-13 20:36,63%,26%,24%,24C
2024-12-13 20:36,63%,26%,24%,24C
2024-12-13 20:36,63%,26%,24%,24C
2024-12-13 20:36,63%,26%,24%,24C
2024-12-13 20:36,63%,26%,24%,24C
2024-12-13 20:36,63%,26%,24%,24C
2024-12-13 20:36,63%,26%,24%,24C
2024-12-13 20:36,63%,26%,24%,24C
2024-12-13 20:36,63%,26%,24%,24C
2024-12-13 20:36,63%,26%,24%,24C
2024-12-13 20:36,63%,26%,24%,24C
2024-12-13 20:36,64%,26%,24%,24C
2024-12-13 20:37,64%,26%,24%,24C
2024-12-13 20:37,64%,26%,24%,24C
2024-12-13 20:37,64%,26%,24%,24C
2024-12-13 20:37,65%,26%,24%,24C
2024-12-13 20:37,65%,26%,24%,24C
2024-12-13 20:37,64%,26%,24%,24C
2024-12-13 20:37,64%,26%,24%,24C
2024-12-13 20:37,64%,26%,24%,24C
2024-12-13 20:37,65%,26%,24%,24C
2024-12-13 20:37,64%,26%,24%,24C
2024-12-13 20:37,64%,26%,24%,24C
2024-12-13 20:37,64%,26%,24%,24C
2024-12-13 20:37,64%,26%,24%,24C
2024-12-13 20:37,64%,26%,24%,24C
2024-12-13 20:37,64%,26%,24%,24C
2024-12-13 20:37,63%,26%,24%,24C
2024-12-13 20:37,63%,26%,24%,24C
2024-12-13 20:37,63%,26%,24%,24C
2024-12-13 20:37,63%,26%,24%,24C
2024-12-13 20:37,64%,26%,24%,24C
2024-12-13 20:37,65%,26%,24%,24C
2024-12-13 20:37,64%,26%,24%,24C
2024-12-13 20:37,63%,26%,24%,24C
2024-12-13 20:37,63%,26%,24%,24C
2024-12-13 20:37,63%,26%,24%,24C
2024-12-13 20:37,63%,26%,24%,24C
2024-12-13 20:37,63%,26%,24%,24C
2024-12-13 20:38,63%,26%,24%,24C
2024-12-13 20:38,63%,26%,24%,24C
2024-12-13 20:38,63%,26%,24%,24C
2024-12-13 20:38,63%,26%,25%,24C
2024-12-13 20:38,63%,26%,24%,24C
2024-12-13 20:38,63%,26%,24%,24C
2024-12-13 20:38,63%,26%,24%,24C
2024-12-13 20:38,64%,26%,24%,24C
2024-12-13 20:38,64%,26%,25%,24C
2024-12-13 20:38,65%,26%,25%,24C
2024-12-13 20:38,65%,26%,24%,24C
2024-12-13 20:38,63%,26%,24%,24C
2024-12-13 20:38,63%,26%,25%,24C
2024-12-13 20:38,63%,26%,25%,24C
2024-12-13 20:38,63%,26%,25%,24C
2024-12-13 20:38,63%,26%,25%,24C
2024-12-13 20:38,63%,26%,25%,24C
2024-12-13 20:38,63%,26%,25%,24C
2024-12-13 20:38,63%,26%,25%,24C
2024-12-13 20:38,63%,26%,25%,24C
2024-12-13 20:38,65%,26%,25%,24C
2024-12-13 20:38,63%,26%,25%,24C
2024-12-13 20:38,63%,26%,25%,24C
2024-12-13 20:38,64%,26%,25%,24C
2024-12-13 20:38,63%,26%,25%,24C
2024-12-13 20:38,63%,26%,24%,24C
2024-12-13 20:38,63%,26%,24%,24C
2024-12-13 20:39,63%,26%,24%,24C
2024-12-13 20:39,63%,26%,24%,24C
2024-12-13 20:39,63%,26%,24%,24C
2024-12-13 20:39,63%,26%,24%,24C
2024-12-13 20:39,63%,26%,24%,24C
2024-12-13 20:39,63%,26%,24%,24C
2024-12-13 20:39,63%,26%,24%,24C
2024-12-13 20:39,63%,26%,24%,24C
2024-12-13 20:39,63%,26%,24%,24C
2024-12-13 20:39,63%,26%,24%,24C
2024-12-13 20:39,63%,26%,24%,24C
2024-12-13 20:39,63%,26%,24%,24C
2024-12-13 20:39,64%,26%,24%,24C
2024-12-13 20:39,63%,26%,24%,24C
2024-12-13 20:39,63%,26%,24%,24C
2024-12-13 20:39,63%,26%,24%,24C
2024-12-13 20:39,63%,26%,24%,24C
2024-12-13 20:39,62%,26%,24%,24C
2024-12-13 20:39,63%,26%,24%,24C
2024-12-13 20:39,63%,26%,24%,24C
2024-12-13 20:39,63%,26%,24%,24C
2024-12-13 20:39,63%,26%,24%,24C
2024-12-13 20:39,64%,26%,24%,24C
2024-12-13 20:39,64%,26%,24%,24C
2024-12-13 20:39,64%,26%,24%,24C
2024-12-13 20:39,65%,26%,24%,24C
2024-12-13 20:40,65%,26%,24%,24C
2024-12-13 20:40,64%,26%,24%,24C
2024-12-13 20:40,64%,26%,24%,24C
2024-12-13 20:40,63%,26%,24%,24C
2024-12-13 20:40,64%,26%,24%,24C
2024-12-13 20:40,63%,26%,24%,24C
2024-12-13 20:40,65%,26%,24%,24C
2024-12-13 20:40,64%,26%,24%,24C
2024-12-13 20:40,64%,26%,24%,24C
2024-12-13 20:40,64%,26%,24%,24C
2024-12-13 20:40,64%,26%,24%,24C
2024-12-13 20:40,65%,26%,25%,24C
2024-12-13 20:40,65%,26%,24%,24C
2024-12-13 20:40,65%,26%,24%,24C
2024-12-13 20:40,65%,26%,24%,24C
2024-12-13 20:40,65%,26%,24%,24C
2024-12-13 20:40,65%,26%,24%,24C
2024-12-13 20:40,64%,26%,24%,24C
2024-12-13 20:40,64%,26%,24%,24C
2024-12-13 20:40,64%,26%,24%,24C
2024-12-13 20:40,64%,26%,24%,24C
2024-12-13 20:40,64%,26%,24%,24C
2024-12-13 20:40,64%,26%,24%,24C
2024-12-13 20:40,64%,26%,24%,24C
2024-12-13 20:40,63%,26%,24%,24C
2024-12-13 20:40,63%,26%,24%,24C
2024-12-13 20:40,63%,25%,24%,24C
2024-12-13 20:41,63%,26%,25%,24C
2024-12-13 20:41,65%,26%,25%,24C
2024-12-13 20:41,64%,26%,25%,24C
2024-12-13 20:41,64%,26%,25%,24C
2024-12-13 20:41,63%,26%,25%,24C
2024-12-13 20:41,63%,26%,25%,24C
2024-12-13 20:41,63%,26%,25%,24C
2024-12-13 20:41,64%,26%,25%,24C
2024-12-13 20:41,64%,26%,25%,24C
2024-12-13 20:41,64%,26%,25%,24C
2024-12-13 20:41,64%,26%,25%,24C
2024-12-13 20:41,64%,26%,25%,24C
2024-12-13 20:41,64%,26%,25%,24C
2024-12-13 20:41,64%,26%,25%,24C
2024-12-13 20:41,64%,26%,24%,24C
2024-12-13 20:41,63%,26%,24%,24C
2024-12-13 20:41,65%,26%,24%,24C
2024-12-13 20:41,64%,26%,24%,24C
2024-12-13 20:41,63%,26%,24%,24C
2024-12-13 20:41,64%,26%,24%,24C
